WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
50.0,4.0,6.0,0.4,4.0,3.3,69.0,1029.6,12.1,18.6,0.0,,,
40.0,4.0,6.0,,,,,1029.6,12.1,18.6,0.4,,0.6,
50.0,5.0,6.0,0.4,,3.3,72.0,1029.5,12.2,18.6,0.7,,,
50.0,5.0,7.0,0.4,4.0,3.3,72.0,1029.5,12.2,18.6,0.6,,,
50.0,5.0,6.0,,,,,1029.4,12.2,18.6,0.5,,,
50.0,5.0,7.0,,,,,1029.3,12.3,18.6,0.8,,,
60.0,5.0,6.0,0.4,3.0,3.2,76.0,1029.4,12.2,18.6,0.0,,,
50.0,5.0,7.0,,,,,1029.5,12.3,18.6,0.7,,0.0,
50.0,4.0,6.0,0.4,,3.2,75.0,1029.5,12.3,18.6,0.8,,,
50.0,4.0,6.0,0.4,4.0,3.2,75.0,1029.6,12.3,18.6,0.9,,,
50.0,4.0,6.0,,,,,1029.5,12.2,18.6,0.6,,,
50.0,4.0,6.0,,,,,1029.5,12.3,18.5,1.0,,,
40.0,5.0,7.0,0.4,4.0,3.2,75.0,1029.7,12.4,18.5,1.5,,,
50.0,4.0,6.0,,,,,1029.6,12.4,18.5,1.3,,-0.0,
40.0,5.0,6.0,0.4,,3.2,78.0,1029.5,12.3,18.5,0.7,,,
40.0,5.0,6.0,0.4,4.0,3.2,78.0,1029.7,12.2,18.5,1.0,,,
40.0,5.0,6.0,,,,,1029.7,12.2,18.5,0.8,,,
40.0,5.0,7.0,0.3,,3.1,85.0,1029.8,12.2,18.5,1.2,,,
40.0,5.0,7.0,0.3,4.0,3.1,85.0,1029.7,12.2,18.5,1.7,,,
30.0,5.0,7.0,,,,,1030.0,12.2,18.5,2.2,,0.3,
40.0,6.0,7.0,0.3,,3.1,83.0,1030.1,12.1,18.5,2.0,,,
30.0,6.0,8.0,0.3,4.0,3.1,83.0,1030.2,12.1,18.5,2.0,,,
40.0,6.0,7.0,,,,,1030.2,12.1,18.5,2.3,,,
30.0,6.0,8.0,,,,,1030.3,12.1,18.5,1.9,,,
30.0,6.0,8.0,0.4,3.0,3.0,83.0,1030.5,12.0,18.5,1.0,,,
30.0,6.0,8.0,,,,,1030.4,12.0,18.5,1.2,,1.0,
40.0,6.0,8.0,0.4,,3.0,68.0,1030.4,12.0,18.5,1.6,,,
40.0,6.0,9.0,0.4,3.0,3.0,68.0,1030.5,12.0,18.5,1.2,,,
40.0,6.0,8.0,,,,,1030.5,12.0,18.5,1.4,,,
